p-GKe8,Hello Dolly,1969,Gene~Kelly,5.860000
p-GCS10,Rage,1972,G.C.Scott,7.240000
p-FPy10,Diary of a Mad Housewife,1970,F.Perry,9.000000
p-GKe1,On the Town,1949,Gene~Kelly,7.160000
p-IWo35,Hard Target,1993,Woo,17.650000
p-AEG60,The Jolson Story,1946,A.E.Green,18.990000
p-RgA11,Pocahontas,1995,Allers,16.760000
p-SGB60,Superman,1948,Bennet,18.549999
p-SRo5,The Man With Two Faces,1960,Rosenberg,9.950000
p-IF78,Steamboat Round the Bend,1935,J.Ford,11.850000
p-HyA30,Where the Boys Are,1984,Averback,6.830000
p-WCr15,A Nightmare on Elm Street,1984,W.Craven,11.630000
p-RDL18,Cuba,1979,R.Lester,19.059999
p-SHp10,Blown Away,1994,S.Hopkins,5.870000
p-WCr10,Swamp Thing,1981,W.Craven,17.500000
p-RDL15,Robin and Marian,1976,R.Lester,7.760000
p-VSh7,All Through the Night,1942,V.Sherman,12.490000
p-VSh9,The Hard Way,1943,V.Sherman,7.050000
p-PY7,The Friends of Eddie Coyle,1973,Yates,12.420000
p-PY4,Bullit,1968,Yates,14.900000
p-GeE10,Final Round,1993,Erschbamer,18.920000
p-IGu21,The Blue Max,1966,Guillermin,7.480000
p-ViS5,The Clodhopper,1917,Schertzinger,12.050000
p-PCo11,And Then There Were None,1974,Collinson,16.670000
p-DLy10,Twin Peaks,1989,D.Lynch,9.990000
p-JqB20,Edouard et Caroline,1951,J.Becker,18.820000
p-RDL24,Finders Keepers,1984,R.Lester,9.910000
p-TuB10,Piano Piano Bacaksiz,1991,Basaran,18.049999
p-AlZ5,Sex Kittens go to College,1960,Zugsmith,14.110000
p-WoP10,Das Boot,1981,Petersen,14.420000
p-RDL20,Superman III,1983,R.Lester,12.470000
p-RWi28,West Side Story,1961,R.Wise,13.490000
p-CEa19,Absolute Power,1997,Eastwood,8.660000
p-RWi29,The Haunting,1963,R.Wise,9.730000
p-DL12,The Bridge on the River Kwai,1957,Lean,12.480000
p-DL13,Lawrence of Arabia,1962,Lean,19.990000
p-SaF13,The Crimson Kimono,1959,Fuller,10.300000
p-WoP17,In the Line of Fire,1993,Petersen,12.400000
p-RrS5,Meet Me After the Show,1951,Sale,9.970000
p-SaF19,Dead Pigeon on Beethoven Street,1972,Fuller,19.559999
